Test case,Time run,Memory,Solution
1,0.557734489440918,28,True
2,4.499480724334717,24,False
3,0.5236945152282715,28,True
4,6.905197620391846,24,False
5,0.8619000911712646,28,True
6,0.7736926078796387,28,True
7,7.963943243026733,24,False
8,4.174196481704712,24,False
9,0.607032299041748,28,True
10,2.947357177734375,28,True
11,1.4248108863830566,28,True
12,7.965203046798706,24,False
13,8.233825445175171,24,False
14,7.1271843910217285,24,False
15,12.976562023162842,24,False
