Test case,Time run,Memory,Solution
1,0.008969783782958984,96,True
2,0.1219472885131836,56,False
3,0.09752678871154785,96,True
4,0.11726665496826172,56,False
5,0.085662841796875,96,True
6,0.06505036354064941,96,True
7,0.1293940544128418,56,False
8,0.022655725479125977,96,True
9,0.012490034103393555,96,True
10,0.06936025619506836,96,True
11,0.21622300148010254,56,False
12,0.13263702392578125,56,False
13,0.12776398658752441,56,False
14,0.048690080642700195,96,True
15,0.17125582695007324,56,False
